20201212171811,10.0.0.1,5001,10.0.0.2,45372,3,0.0-10.0,1312710,1049195,0.007,0,893,0.000,0
20201212171819,10.0.0.1,5001,10.0.0.3,37001,4,0.0-10.0,1312710,1049044,0.005,0,893,0.000,0
20201212171827,10.0.0.1,5001,10.0.0.4,40266,5,0.0-10.0,1312710,1048993,0.007,0,893,0.000,0
20201212171835,10.0.0.1,5001,10.0.0.5,46003,3,0.0-10.0,1312710,1049056,0.008,0,893,0.000,0
20201212171843,10.0.0.1,5001,10.0.0.6,44019,4,0.0-10.0,1312710,1049308,0.011,0,893,0.000,0
20201212171851,10.0.0.1,5001,10.0.0.7,58185,5,0.0-10.0,1312710,1048991,0.006,0,893,0.000,0
20201212171859,10.0.0.1,5001,10.0.0.8,45372,3,0.0-10.0,1312710,1048868,0.009,0,893,0.000,0
20201212171907,10.0.0.1,5001,10.0.0.9,59148,4,0.0-10.0,1312710,1048896,0.010,0,893,0.000,0
20201212171915,10.0.0.1,5001,10.0.0.10,38515,5,0.0-10.0,1312710,1049029,0.008,0,893,0.000,0
20201212171923,10.0.0.1,5001,10.0.0.11,52498,3,0.0-10.0,1312710,1048922,0.005,0,893,0.000,0
20201212171931,10.0.0.1,5001,10.0.0.12,55546,4,0.0-10.0,1312710,1048889,0.012,0,893,0.000,0
20201212171939,10.0.0.1,5001,10.0.0.13,49877,5,0.0-10.0,1312710,1048939,0.030,0,893,0.000,0
20201212171947,10.0.0.1,5001,10.0.0.14,55384,3,0.0-10.0,1312710,1048910,0.008,0,893,0.000,0
20201212171955,10.0.0.1,5001,10.0.0.15,42717,4,0.0-10.0,1312710,1048929,0.007,0,893,0.000,0
20201212172003,10.0.0.1,5001,10.0.0.16,37579,5,0.0-10.0,1312710,1048874,0.011,0,893,0.000,0
20201212172011,10.0.0.1,5001,10.0.0.17,45606,3,0.0-10.0,1312710,1048882,0.009,0,893,0.000,0
20201212172019,10.0.0.1,5001,10.0.0.18,42187,4,0.0-10.0,1312710,1048934,0.011,0,893,0.000,0
20201212172027,10.0.0.1,5001,10.0.0.19,46501,5,0.0-10.0,1312710,1048871,0.013,0,893,0.000,0
20201212172035,10.0.0.1,5001,10.0.0.20,51084,3,0.0-10.0,1312710,1048907,0.007,0,893,0.000,0
20201212172043,10.0.0.1,5001,10.0.0.21,46402,4,0.0-10.0,1312710,1048867,0.013,0,893,0.000,0
20201212172051,10.0.0.1,5001,10.0.0.22,60986,5,0.0-10.0,1312710,1049044,0.008,0,893,0.000,0
20201212172059,10.0.0.1,5001,10.0.0.23,60294,3,0.0-10.0,1312710,1049045,0.012,0,893,0.000,0
20201212172107,10.0.0.1,5001,10.0.0.24,35979,4,0.0-10.0,1312710,1049055,0.007,0,893,0.000,0
20201212172115,10.0.0.1,5001,10.0.0.25,46732,5,0.0-10.0,1312710,1049002,0.004,0,893,0.000,0
20201212172123,10.0.0.1,5001,10.0.0.26,34712,3,0.0-10.0,1312710,1048968,0.008,0,893,0.000,0
20201212172131,10.0.0.1,5001,10.0.0.27,42057,4,0.0-10.0,1312710,1048864,0.008,0,893,0.000,0
20201212172139,10.0.0.1,5001,10.0.0.28,59800,5,0.0-10.0,1312710,1048886,0.011,0,893,0.000,0
20201212172147,10.0.0.1,5001,10.0.0.29,52500,3,0.0-10.0,1312710,1048919,0.006,0,893,0.000,0
20201212172155,10.0.0.1,5001,10.0.0.30,54709,4,0.0-10.0,1312710,1048938,0.009,0,893,0.000,0
20201212172203,10.0.0.1,5001,10.0.0.31,50059,5,0.0-10.0,1312710,1048947,0.007,0,893,0.000,0
20201212172211,10.0.0.1,5001,10.0.0.32,34491,3,0.0-10.0,1312710,1048895,0.007,0,893,0.000,0
20201212172219,10.0.0.1,5001,10.0.0.33,38188,4,0.0-10.0,1312710,1048942,0.014,0,893,0.000,0
20201212172227,10.0.0.1,5001,10.0.0.34,36331,5,0.0-10.0,1312710,1048909,0.023,0,893,0.000,0
20201212172235,10.0.0.1,5001,10.0.0.35,46372,3,0.0-10.0,1312710,1048924,0.010,0,893,0.000,0
20201212172243,10.0.0.1,5001,10.0.0.36,40733,4,0.0-10.0,1312710,1048903,0.010,0,893,0.000,0
20201212172251,10.0.0.1,5001,10.0.0.37,51180,5,0.0-10.0,1312710,1048937,0.007,0,893,0.000,0
20201212172259,10.0.0.1,5001,10.0.0.38,57703,3,0.0-10.0,1312710,1048967,0.013,0,893,0.000,0
20201212172307,10.0.0.1,5001,10.0.0.39,44517,4,0.0-10.0,1312710,1048951,0.006,0,893,0.000,0
20201212172315,10.0.0.1,5001,10.0.0.40,38898,5,0.0-10.0,1312710,1048905,0.011,0,893,0.000,0
20201212172323,10.0.0.1,5001,10.0.0.41,57304,3,0.0-10.0,1312710,1049086,0.004,0,893,0.000,0
20201212172331,10.0.0.1,5001,10.0.0.42,33511,4,0.0-10.0,1312710,1048999,0.010,0,893,0.000,0
20201212172339,10.0.0.1,5001,10.0.0.43,38106,5,0.0-10.0,1312710,1049182,0.005,0,893,0.000,0
20201212172347,10.0.0.1,5001,10.0.0.44,56258,3,0.0-10.0,1312710,1049074,0.009,0,893,0.000,0
20201212172355,10.0.0.1,5001,10.0.0.45,50028,4,0.0-10.0,1312710,1049021,0.009,0,893,0.000,0
20201212172403,10.0.0.1,5001,10.0.0.46,35315,5,0.0-10.0,1312710,1048935,0.005,0,893,0.000,0
20201212172411,10.0.0.1,5001,10.0.0.47,52006,3,0.0-10.0,1312710,1048948,0.004,0,893,0.000,0
20201212172419,10.0.0.1,5001,10.0.0.48,51750,4,0.0-10.0,1312710,1048892,0.009,0,893,0.000,0
